datetime;	t_gpu;t_cpu;t_nvme_comp;t_nvme_s1;	cpu0_freq;cpu1_freq;cpu2_freq;cpu3_freq;	core0_408;core0_600;core0_816;core0_1100;core0_1420;core0_1610;core0_1800;core1_408;core1_600;core1_816;core1_1100;core1_1420;core1_1610;core1_1800;core2_408;core2_600;core2_816;core2_1100;core2_1420;core2_1610;core2_1800;core3_408;core3_600;core3_816;core3_1100;core3_1420;core3_1610;core3_1800
2024-11-20 07:47:34;	42.5;45.6;41.9;41.9;	1800000;1800000;1800000;1800000;	84.82;0.65;0.14;0.00;0.00;0.00;14.39;84.82;0.65;0.14;0.00;0.00;0.00;14.39;84.82;0.65;0.14;0.00;0.00;0.00;14.39;84.82;0.65;0.14;0.00;0.00;0.00;14.39
2024-11-20 07:47:41;	42.5;45.6;41.9;41.9;	1800000;1800000;1800000;1800000;	84.81;0.65;0.14;0.00;0.00;0.00;14.39;84.81;0.65;0.14;0.00;0.00;0.00;14.39;84.81;0.65;0.14;0.00;0.00;0.00;14.39;84.81;0.65;0.14;0.00;0.00;0.00;14.39
2024-11-20 07:47:47;	42.5;46.1;41.9;41.9;	1800000;1800000;1800000;1800000;	84.81;0.65;0.14;0.00;0.00;0.00;14.39;84.81;0.65;0.14;0.00;0.00;0.00;14.39;84.81;0.65;0.14;0.00;0.00;0.00;14.39;84.81;0.65;0.14;0.00;0.00;0.00;14.39
2024-11-20 07:47:53;	42.5;45.6;41.9;41.9;	1800000;1800000;1800000;1800000;	84.81;0.65;0.14;0.00;0.00;0.00;14.39;84.81;0.65;0.14;0.00;0.00;0.00;14.39;84.81;0.65;0.14;0.00;0.00;0.00;14.39;84.81;0.65;0.14;0.00;0.00;0.00;14.39
2024-11-20 07:48:00;	42.5;46.1;41.9;41.9;	1800000;1800000;1800000;1800000;	84.81;0.65;0.14;0.00;0.00;0.00;14.39;84.81;0.65;0.14;0.00;0.00;0.00;14.39;84.81;0.65;0.14;0.00;0.00;0.00;14.39;84.81;0.65;0.14;0.00;0.00;0.00;14.39
2024-11-20 07:48:06;	42.5;45.6;41.9;41.9;	1800000;1800000;1800000;1800000;	84.81;0.65;0.14;0.00;0.00;0.00;14.39;84.81;0.65;0.14;0.00;0.00;0.00;14.39;84.81;0.65;0.14;0.00;0.00;0.00;14.39;84.81;0.65;0.14;0.00;0.00;0.00;14.39
2024-11-20 07:48:12;	42.5;46.1;41.9;41.9;	1800000;1800000;1800000;1800000;	84.81;0.65;0.14;0.00;0.00;0.00;14.40;84.81;0.65;0.14;0.00;0.00;0.00;14.40;84.81;0.65;0.14;0.00;0.00;0.00;14.40;84.81;0.65;0.14;0.00;0.00;0.00;14.40
2024-11-20 07:48:18;	42.5;46.1;41.9;41.9;	1800000;1800000;1800000;1800000;	84.81;0.65;0.14;0.00;0.00;0.00;14.40;84.81;0.65;0.14;0.00;0.00;0.00;14.40;84.81;0.65;0.14;0.00;0.00;0.00;14.40;84.81;0.65;0.14;0.00;0.00;0.00;14.40
2024-11-20 07:48:25;	42.5;46.7;41.9;41.9;	1800000;1800000;1800000;1800000;	84.81;0.65;0.14;0.00;0.00;0.00;14.40;84.81;0.65;0.14;0.00;0.00;0.00;14.40;84.81;0.65;0.14;0.00;0.00;0.00;14.40;84.81;0.65;0.14;0.00;0.00;0.00;14.40
2024-11-20 07:48:31;	42.5;46.1;41.9;41.9;	1800000;1800000;1800000;1800000;	84.80;0.65;0.14;0.00;0.00;0.00;14.40;84.80;0.65;0.14;0.00;0.00;0.00;14.40;84.80;0.65;0.14;0.00;0.00;0.00;14.40;84.80;0.65;0.14;0.00;0.00;0.00;14.40
